"id","accommodates","antiguedad","host_response_rate","host_response_time","neighborhood_overview_flag","bathrooms","beds","price","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","property_type","room_type","minimum_nights","maximum_nights","whatcluster_k"
96033,3,15079,1,1,1,1,2,53,0,1,1,1,"Este",1,1,3,180,"1"
166473,1,15163,1,2,0,2,4,19,1,4,1,1,"Este",2,2,5,365,"5"
212845,1,15117,1,2,0,1.5,2,43,0,3,1,1,"Este",3,3,2,90,"5"
330760,2,15372,1,1,1,1.5,1,44,0,7,1,1,"Centro",4,2,1,1125,"5"
340024,2,15379,1,1,1,1,1,61,1,1,1,1,"Centro",1,1,3,1125,"1"
358541,2,15330,1,2,1,1,1,93,1,1,1,1,"Centro",1,1,2,1125,"1"
413063,2,15432,1,1,1,1,1,86,1,1,1,1,"Centro",1,1,4,1125,"1"
421077,2,15438,0.98,1,0,1,1,81,0,11,1,1,"Centro",1,1,1,1125,"1"
427860,2,15442,0.9,1,1,1,2,45,0,3,1,1,"Centro",5,2,3,1125,"5"
505688,4,15489,0.98,1,1,1,2,71,0,12,1,1,"Centro",6,1,4,1125,"1"
507961,2,15489,0.98,1,1,1,1,68,0,12,1,1,"Centro",6,1,4,1125,"1"
508787,2,15489,0.98,1,1,1,1,49,0,12,1,1,"Centro",6,1,3,1125,"1"
509073,2,15489,0.98,1,1,1,1,51,0,12,1,1,"Centro",6,1,4,1125,"1"
550804,2,15512,1,1,0,1.5,1,49,0,11,1,1,"Centro",1,1,5,1125,"1"
634046,5,15489,0.98,1,1,2,4,79,0,12,1,1,"Este",7,1,5,1125,"1"
655701,6,15570,1,1,1,1,6,93,0,4,1,1,"Churriana",1,1,2,1125,"1"
663794,4,15570,1,1,1,1,3,71,0,4,1,1,"Centro",1,1,5,730,"1"
718943,6,15549,1,1,1,1,5,141,0,8,1,0,"Este",1,1,3,1125,"2"
603361,2,15540,1,1,1,1,2,55,1,7,1,1,"Centro",2,2,2,2,"5"
611037,2,15544,1,1,0,1,1,92,0,1,1,1,"Centro",1,1,3,1125,"1"
726869,4,15618,1,3,0,1,3,73,0,1,1,1,"Centro",8,1,1,1125,"1"
2145149,1,15163,1,2,1,2,4,19,1,4,1,1,"Este",2,2,5,1000,"5"
730403,4,15621,1,2,1,1.5,1,30,0,1,1,0,"Carretera de Cadiz",2,2,2,1125,"2"
2163893,4,16009,1,1,1,1,2,80,0,9,1,1,"Centro",1,1,4,555,"1"
739253,3,15626,1,1,0,1,2,65,0,1,1,1,"Este",5,2,1,3,"5"
2206087,5,16030,1,1,1,1,4,77,1,3,1,1,"Este",1,1,4,1125,"1"
744037,3,15630,1,1,1,1,2,80,0,1,1,1,"Centro",1,1,4,60,"1"
2217020,2,15481,1,1,0,1,1,95,0,1,1,0,"Centro",1,1,4,28,"2"
746003,4,15631,1,2,1,1,3,86,1,4,1,1,"Este",1,1,2,1125,"1"
2275180,4,16076,0.8,1,1,1,2,58,0,1,1,1,"Centro",6,1,2,90,"1"
753119,5,15631,1,2,1,1,3,99,1,4,1,1,"Este",1,1,2,1125,"1"
2288248,4,16097,1,1,1,1,4,110,0,1,1,1,"Centro",1,1,2,90,"1"
2306037,3,16100,0.98,2,0,1,2,61,1,14,1,1,"Centro",6,1,5,60,"1"
753252,4,15631,1,2,1,1,2,101,1,4,1,1,"Este",1,1,2,1125,"1"
2327541,4,15578,1,1,1,1,3,180,0,90,1,1,"Centro",1,1,2,1125,"1"
783360,9,15570,1,1,1,2.5,7,162,0,4,1,1,"Centro",1,1,2,1125,"3"
2336145,2,16105,1,1,1,1,2,59,1,2,1,1,"Centro",1,1,4,160,"1"
786626,2,15658,1,1,0,1,1,79,0,9,1,1,"Centro",1,1,4,1125,"1"
786638,2,15658,1,1,1,1.5,1,150,0,9,1,1,"Centro",1,1,7,1125,"1"
786648,2,15658,1,1,0,1,2,150,0,9,1,1,"Centro",9,1,5,1123,"1"
786651,4,15658,1,1,0,1,3,116,0,9,1,1,"Centro",1,1,5,1125,"1"
786656,2,15658,1,1,0,1,1,90,0,9,1,1,"Centro",1,1,4,1125,"1"
786663,4,15658,1,1,1,1,3,150,0,9,1,1,"Centro",1,1,5,1125,"1"
787704,2,15658,1,2,1,1,2,28,1,1,1,1,"Bailen-Miraflores",2,2,3,62,"5"
